RAJ2000,DEJ2000,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad
84.94571,-7.373361,583,16.84,0.19,14.67,0.07,13.33,0.05,12.23,0.01,11.76,0.01,11.47,0.01,10.81,0.01,7.43,0.04,1.12,-1.25,"D ",2M,Simbad
84.51725,-7.3678613,584,13.18,0.02,12.3,0.03,11.79,0.02,11.17,0.01,10.76,0.01,10.44,0.01,9.73,0.01,6.54,0.02,0.09,-1.21,"D ",2M,Simbad
84.3445,-7.356889,585,14.49,0.04,13.64,0.04,13.3,0.05,12.6,0.01,12.33,0.01,12.14,0.02,11.56,0.03,8.03,0.05,0.17,-1.66,"D ",2M,Simbad
84.71825,-7.352611,586,10.24,0.02,8.87,0.03,8.03,0.03,7.19,0.01,6.86,0.01,6.53,0.01,5.69,0.01,2.46,0.01,0.46,-1.13,"D ",2M,Simbad
84.716705,-7.3516946,587,0.0,0.0,13.54,0.16,11.81,0.04,9.58,0.01,8.69,0.01,7.84,0.01,6.88,0.01,3.46,0.02,1.01,0.25,"P ",2M,Simbad
84.579834,-7.347417,588,13.18,0.02,12.03,0.02,11.45,0.02,10.61,0.01,10.1,0.01,9.61,0.01,8.67,0.01,5.89,0.01,0.39,-0.63,"D ",2M,Simbad
83.913956,-7.344,589,13.73,0.03,13.1,0.03,12.86,0.03,12.49,0.01,12.27,0.01,12.01,0.02,11.4,0.02,8.72,0.09,0.0,-1.6,"D ",2M,Simbad
84.869125,-7.3419724,590,0.0,0.0,15.01,0.09,12.93,0.04,11.25,0.01,10.51,0.01,9.83,0.01,8.99,0.01,5.36,0.01,2.32,-0.24,"D ",2M,Simbad
84.7105,-7.341639,591,14.81,0.05,13.62,0.04,12.73,0.03,11.73,0.01,11.13,0.01,10.79,0.01,10.19,0.01,7.01,0.08,0.2,-1.11,"D ",2M,Simbad
84.91263,-7.3413887,592,16.37,0.12,13.51,0.03,12.09,0.03,11.08,0.01,10.75,0.01,10.47,0.01,10.19,0.01,8.07,0.05,1.93,-1.81,"D ",2M,Simbad
84.91033,-7.3402224,593,16.06,0.12,13.24,0.04,11.89,0.03,10.88,0.01,10.57,0.01,10.27,0.01,9.92,0.01,7.26,0.03,1.95,-1.74,"D ",2M,Simbad
84.8265,-7.339889,594,16.2,0.12,15.13,0.11,14.73,0.12,14.37,0.01,14.03,0.01,13.8,0.06,13.25,0.08,6.86,0.03,0.4,-1.58,"P ",2M,Simbad
84.753914,-7.339611,595,0.0,0.0,15.93,0.18,14.91,0.17,13.52,0.01,11.78,0.01,10.39,0.01,9.06,0.01,3.99,0.01,0.0,2.25,"P ",2M,Simbad
84.93079,-7.3391943,596,14.0,0.04,12.33,0.03,11.45,0.03,10.19,0.01,9.87,0.01,9.41,0.01,8.73,0.01,6.32,0.02,0.82,-1.14,"D ",2M,Simbad
84.708374,-7.3384724,597,11.51,0.03,10.29,0.03,9.47,0.02,8.86,0.01,8.45,0.01,8.03,0.01,7.21,0.01,3.41,0.01,0.29,-0.95,"D ",2M,Simbad
84.9345,-7.33625,598,14.37,0.03,12.59,0.03,11.75,0.03,10.82,0.01,10.33,0.01,9.87,0.01,9.13,0.01,6.45,0.02,0.99,-0.9,"D ",2M,Simbad
84.81338,-7.3258057,599,0.0,0.0,0.0,0.0,0.0,0.0,13.68,0.01,13.21,0.01,12.45,0.03,11.71,0.02,7.59,0.04,0.0,-0.5,"D ",2M,Simbad
